,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4397,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),103.95,7556.9
4399,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),103.1,6595
90,1,1,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2
2944,0,0,2,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),50.95,605.75
876,0,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75
5856,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.65,472.25
2707,0,1,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,98.7,293.65
304,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,81.85,3141.7
2710,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.4,482.8
5444,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),107.75,4882.8
2774,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,50.05,288.35
842,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,229.6
4509,0,1,0,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,84.3,84.3
6951,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,1022.6
2097,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.05,811.65
3501,1,1,1,DSL,Yes,No,Yes,Yes,Yes,No,Two year,1,Mailed check,76.45,4519.5
3129,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Bank transfer (automatic),95.0,6602.9
2835,0,1,1,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),63.85,4174.35
1922,1,1,1,DSL,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,60.35,1404.65
1573,1,1,0,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,1,Electronic check,96.1,4391.45
6575,0,1,1,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Mailed check,59.05,1253.5
890,1,1,1,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,89.3,2823
3871,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),101.55,298.35
6092,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Bank transfer (automatic),94.25,6849.75
227,1,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,55.2,55.2
2787,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,26.1,1851.45
6250,1,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,0,Bank transfer (automatic),99.15,6875.35
6903,1,1,1,DSL,No,Yes,No,Yes,Yes,No,One year,1,Electronic check,69.0,2441.7
2212,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.5,225.85
1850,1,1,1,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),67.45,3252
4412,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.45,1699.15
5918,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.5,1147.85
2804,1,0,2,DSL,No,No,No,No,No,No,One year,0,Bank transfer (automatic),24.1,259.8
528,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.6,686.95
3669,0,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,111.5,4915.15
5267,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.85,183.15
4645,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,104.4,3409.6
5559,0,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,31.65,389.95
4812,0,1,0,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,0,Mailed check,66.25,620.55
3088,1,1,0,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Mailed check,81.0,3846.35
1534,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.8,1436.95
2425,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25
2896,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,19.95,253.8
775,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),110.65,8065.65
5760,1,1,0,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,91.55,1540.05
3003,0,1,1,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,79.5,2180.55
49,1,1,1,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1
420,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,24.3,132.25
1165,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.9,510.8
6909,1,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.55,53.55
5601,1,0,2,DSL,No,No,No,Yes,Yes,No,One year,0,Mailed check,40.9,1383.6
533,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),107.15,7379.8
5368,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.3,235.5
291,0,1,0,DSL,Yes,Yes,Yes,No,No,No,One year,0,Mailed check,61.2,2021.2
531,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.05,1360.25
6619,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.15,238.15
39,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4
3106,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1023.95
3914,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.9,791.15
4742,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.8,1521.2
6759,1,1,1,Fiber optic,Yes,No,Yes,No,No,Yes,One year,1,Bank transfer (automatic),93.65,4839.15
6789,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,20.2
1585,1,1,1,DSL,Yes,No,No,Yes,Yes,Yes,One year,0,Credit card (automatic),80.45,3375.9
4614,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,144.35
738,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.35,3344.1
3624,1,1,1,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),96.1,6019.35
2467,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,One year,1,Electronic check,97.95,4917.9
2712,0,0,2,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.35,216.45
2053,1,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),83.35,4065
2129,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.3,75.3
6791,0,0,2,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,39.65,733.35
4041,0,0,2,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),60.75,2893.4
614,0,1,1,DSL,No,No,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),69.5,3418.2
3738,0,0,2,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,49.2,1701.65
500,0,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),116.25,3899.05
48,0,1,1,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8
4571,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.8,1540.35
4125,1,1,0,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),86.1,3551.65
2851,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.6,5817.45
6003,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),93.2,6506.15
6464,0,1,1,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),70.35,3454.6
1164,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),82.7,5831.2
4792,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,106.25,6979.8
5388,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,19.9
6343,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.1,730.1
6815,1,1,1,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.85,5102.35
1595,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.7,165.4
479,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),69.0,994.8
1136,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.0,1209.25
2556,1,1,1,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,84.55,3713.95
4156,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.75,19.75
635,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.5,6985.65
5507,0,1,0,DSL,Yes,Yes,No,Yes,No,No,One year,1,Electronic check,59.9,1654.7
694,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.05,417
5148,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Electronic check,99.35,6347.55
3792,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.25,2351.8
723,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.35,141.5
5784,1,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,74.8,1438.05
5325,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,99.45
2246,1,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,102.45,102.45
3175,1,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),81.5,1329.2
188,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.65,244.8
1125,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.65,4284.8
6478,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.8,6640.7
6312,0,1,0,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.4,5643.4
2486,1,1,1,Fiber optic,No,No,No,Yes,No,Yes,One year,1,Electronic check,90.45,2509.25
5582,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.0,1183.05
1241,0,1,1,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,1888.45
5624,1,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),89.8,5629.55
2649,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.0,1584.8
4558,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,2287.25
6743,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,24.0,226.55
1638,1,1,1,Fiber optic,No,Yes,Yes,No,No,No,Two year,1,Credit card (automatic),84.4,5746.75
5563,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,84.5
6800,1,1,0,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,0,Mailed check,105.95,1348.9
6966,0,0,2,DSL,Yes,Yes,No,No,Yes,No,One year,1,Bank transfer (automatic),43.05,2208.05
124,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9
4102,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.75,333.65
6420,1,1,1,Fiber optic,No,No,No,Yes,No,No,One year,1,Electronic check,79.25,2619.15
6394,0,1,0,DSL,Yes,Yes,No,Yes,No,No,One year,0,Bank transfer (automatic),58.2,469.25
4589,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,220.8
4765,0,0,2,DSL,No,No,No,No,Yes,No,Two year,0,Credit card (automatic),35.8,1316.9
4133,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,98.6,5581.05
4124,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.95,1760.25
3525,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,95.05,4888.7
4663,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,321.75
1224,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.85,45.85
979,1,1,0,DSL,Yes,No,No,Yes,No,No,One year,1,Bank transfer (automatic),54.95,1916
3032,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.45,369.05
3070,0,0,2,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,0,Credit card (automatic),50.95,307.6
3746,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,68.95
6393,0,1,1,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),92.4,2349.8
4093,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),76.0,2215.25
5992,1,1,1,DSL,Yes,Yes,Yes,No,No,Yes,One year,0,Credit card (automatic),72.45,4653.85
4735,0,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),85.25,3704.15
5808,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.4,7719.5
3958,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),73.85,1284.2
5572,1,1,1,DSL,Yes,No,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),74.8,5315.8
2233,0,1,0,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Mailed check,69.9,3883.3
5310,1,1,1,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),66.25,2907.35
2229,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.5,294.2
2234,1,1,1,DSL,No,Yes,No,Yes,No,No,Two year,0,Mailed check,59.7,1414.2
836,1,1,0,DSL,Yes,No,Yes,Yes,No,Yes,One year,0,Credit card (automatic),71.4,4487.3
1054,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.1,3706.95
6504,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,79.25,267.6
2330,1,1,1,DSL,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,64.4,1802.15
3816,1,1,1,DSL,Yes,Yes,Yes,No,No,Yes,Two year,1,Bank transfer (automatic),75.15,3822.45
475,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,80.25,1861.5
2706,1,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,76.4,151.8
2219,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,89.95,1648.45
3058,0,1,1,DSL,No,No,Yes,No,No,No,One year,1,Mailed check,55.85,937.5
5691,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.95,68.2
4083,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.2,6851.65
6166,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.2,3243.45
1987,1,1,0,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.15,2257.75
3872,1,1,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,103.1,970.45
4739,0,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.0,929.3
941,0,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.15,382.2
4738,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,104.1,541.9
520,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,105.4,6989.45
6175,1,1,0,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Electronic check,90.8,3023.85
6574,0,1,1,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,90.1,816.8
2701,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.1,1143.8
4789,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,71.1,71.1
5501,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),25.1,382.8
143,0,1,1,Fiber optic,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),84.3,5289.05
1367,1,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,82.15,4904.85
5059,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.15,3615.6
5673,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.7,117.8
3042,0,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.3,1380.1
1738,1,1,1,Fiber optic,No,Yes,Yes,Yes,No,No,One year,1,Bank transfer (automatic),90.55,6130.95
844,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.9,89.9
4806,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.45,1195.95
6906,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,18.7,383.65
4592,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,24.2,914.6
4128,0,0,2,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,39.3,2111.45
3897,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,115.5,8425.15
4491,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.75,19.75
1933,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.7,415.9
2624,1,1,1,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,66.7,1077.05
5136,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,72.6,154.3
3796,0,1,1,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,49.1,679.55
6067,0,0,2,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,35.3,264.8
2369,0,1,1,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),99.25,6549.45
2526,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.4,19.4
3084,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.15,163.7
2920,1,1,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,85.1,6155.4
3380,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.1,95.1
6325,1,1,0,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,0,Electronic check,91.85,1574.45
3371,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.25,180.3
4315,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,79.55,79.55
2277,0,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,109.15,6941.2
2506,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.3,1778.7
5551,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),19.6,356.15
2306,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.85,199.85
1897,1,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),50.4,1527.5
1630,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,102.6,4009.2
4303,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.5,1121.05
3185,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,25.05,25.05
472,1,1,0,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,70.05,564.4
2100,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),99.5,6841.45
5974,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.05,218.5
6764,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.2,69.2
3491,1,1,0,DSL,No,Yes,Yes,Yes,Yes,No,One year,1,Electronic check,70.95,3250.45
3163,0,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,90.7,3413.25
1556,0,1,0,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,0,Electronic check,91.7,91.7
5375,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,50.8,50.8
2167,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.25,1233.65
4924,0,0,2,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,35.75,35.75
263,0,0,2,DSL,Yes,Yes,No,Yes,No,Yes,Two year,1,Bank transfer (automatic),49.85,1520.1
5524,1,1,0,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),54.65,2553.7
6131,0,1,1,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,95.05,4504.55
2024,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Electronic check,95.7,1184
6978,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Electronic check,80.7,5617.95
4354,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.2,1192.3
7026,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),44.2,403.35
2761,0,0,2,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,34.7,329.8
6375,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),74.3,74.3
5313,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,89.7,4952.95
1835,1,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.0,45
4008,1,0,2,DSL,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,56.15,2898.95
4023,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,849.9
6234,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.3,1474.35
560,1,1,1,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Electronic check,107.25,6033.3
6878,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.5,573.3
1385,0,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),102.5,4904.25
6132,0,0,2,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),53.4,3579.15
1140,0,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),88.95,1161.75
4956,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.45,742.95
5769,1,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),109.0,7661.8
3071,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.5,4318.35
3186,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.3,1160.75
3915,1,1,0,Fiber optic,Yes,No,Yes,No,No,No,One year,1,Credit card (automatic),81.25,4639.45
4664,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),74.9,147.15
1528,0,1,0,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,56.2,1093.4
4778,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,24.4,1413
4603,1,0,2,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,35.1,101.1
6724,0,1,0,DSL,Yes,Yes,No,Yes,Yes,No,Two year,1,Credit card (automatic),70.2,4481
2880,0,1,0,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),79.95,1043.4
206,1,0,2,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),55.45,4179.2
1146,0,0,2,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,35.6,1072.6
4403,1,1,1,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55
