,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2491,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.35,869.9
4328,1,1,1,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,51.1,711.15
1571,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,20.05
234,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,25.15,702
2323,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),98.6,2933.2
6727,1,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,45.3,528.45
6041,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,109.6
4400,1,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.7,149.05
899,1,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.4,4914.9
3368,0,1,1,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Electronic check,94.15,4408.45
2650,0,1,1,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.35,1302.65
964,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.7,45.7
5309,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.25,1278.8
466,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Electronic check,102.1,6538.45
3036,0,0,2,DSL,Yes,No,Yes,Yes,Yes,No,One year,1,Bank transfer (automatic),49.35,3321.35
5768,1,1,0,Fiber optic,No,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),90.65,3974.15
3646,0,1,0,Fiber optic,No,No,Yes,Yes,No,No,One year,0,Electronic check,81.9,3219.75
4288,0,1,1,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,91.85,257.05
6084,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),95.0,3440.25
1273,1,1,1,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,88.2,4159.45
7010,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.45,74.45
3626,0,1,0,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1284.2
7021,0,1,0,DSL,No,No,No,Yes,Yes,No,One year,1,Electronic check,59.8,727.8
4536,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.35,69.35
4204,0,1,0,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,85.55,408.5
3639,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),100.5,6029
1124,0,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),49.05,593.05
5042,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.8,344.5
4364,0,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),80.3,4995.35
2503,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.6,926
5923,0,1,0,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,89.25,487.05
2372,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),90.3,6287.3
6880,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.2,1787.35
4171,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,18.95,185.6
338,0,1,0,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.8,3565.65
2921,0,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.5,829.1
5842,0,1,1,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,78.75,995.35
6646,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.4,997.75
4538,0,1,0,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,85.8,272.2
4527,0,1,0,Fiber optic,No,No,Yes,Yes,No,No,Two year,1,Electronic check,80.45,3201.55
389,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.0,44
6089,1,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.6,90.6
3527,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.6,74.6
6522,1,0,2,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),34.0,1505.35
436,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.85,720.05
3374,0,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.85,104.2
3578,0,1,0,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,0,Mailed check,65.1,2586
5,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5
5032,0,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,89.15,1057.55
2165,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.2,273.25
6796,1,1,1,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,56.7,113.55
4640,1,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.0,70
2162,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Credit card (automatic),96.6,2684.35
3087,0,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,87.05,762.1
584,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.0,61.7
4053,0,1,1,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),60.25,662.95
5674,1,0,2,DSL,No,Yes,Yes,Yes,No,Yes,Two year,0,Electronic check,49.85,3210.35
2887,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.05,45.05
3063,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.05,3810.55
3661,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),87.55,4475.9
1287,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,107.5,3242.5
1704,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75
2496,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.05,388.6
4146,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.2,2576.2
5207,1,0,2,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),40.65,933.3
3050,0,1,0,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),85.4,425.9
3143,1,1,1,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,72.8,930.05
5607,0,0,2,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,55.8,2109.35
644,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,25.25,394.85
571,0,1,1,DSL,No,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),59.6,2754
5942,1,0,2,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,48.75,442.2
4897,1,0,2,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),30.2,469.65
1073,0,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),98.05,713
3797,1,1,1,DSL,Yes,No,Yes,No,Yes,Yes,One year,1,Electronic check,80.2,3581.6
6354,1,1,0,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,0,Bank transfer (automatic),93.7,5860.7
6635,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.1,533.9
5275,0,1,1,DSL,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,53.75,608
5797,1,1,1,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),88.8,1672.35
3658,0,1,0,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,54.25,583
1623,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),97.2,5129.45
3039,1,0,2,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),64.45,4641.1
3085,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),105.35,323.25
3,0,0,2,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75
6760,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.4,184.4
2776,1,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),74.3,1178.25
992,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.25,555.4
306,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,2303.35
10,1,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45
2067,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),103.15,6792.45
6380,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,104.35,6578.55
1431,1,1,1,DSL,No,No,No,Yes,Yes,No,One year,1,Bank transfer (automatic),64.85,2908.2
4595,1,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),85.3,5560
2057,1,1,1,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,79.2,1742.75
683,0,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),103.75,4188.4
2582,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.3,1275.65
3932,0,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.55,149.55
4978,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.1,44.1
1092,1,1,0,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),64.95,4523.25
6357,1,1,1,Fiber optic,Yes,Yes,Yes,No,No,No,One year,0,Electronic check,89.75,5769.6
332,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),94.9,4422.95
1624,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Electronic check,98.25,5508.35
6989,1,1,1,DSL,Yes,No,No,No,Yes,Yes,One year,0,Bank transfer (automatic),76.0,1588.75
5803,1,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,81.3,416.3
6598,0,1,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),74.3,4166.35
473,1,1,0,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,53.6,1315.35
1899,0,1,0,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),90.95,1612.2
6668,0,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,103.65,3988.5
459,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.1,75.1
3909,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.55,223.15
4757,0,1,1,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Mailed check,60.1,60.1
5467,0,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,0,Mailed check,98.6,5311.85
6161,0,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.35,533.6
5757,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,25.7,734.6
2292,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),91.3,4965
4857,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),24.9,505.95
507,1,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,167.5
6829,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.6,125
2966,0,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,46.35,672.7
5146,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,86.2,893.2
2478,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,44.55,220.75
5350,1,1,1,DSL,Yes,Yes,No,No,No,Yes,Two year,0,Bank transfer (automatic),69.7,3686.05
1998,1,0,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,44.6,97.1
3653,1,0,2,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),60.0,2193.2
2039,0,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.35,1730.35
2877,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.15,6010.05
6709,1,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,One year,0,Electronic check,99.4,5059.75
290,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.1,1712.7
6285,0,0,2,DSL,Yes,No,No,Yes,Yes,Yes,One year,0,Credit card (automatic),54.55,1362.85
2782,1,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.4,3297
1051,1,0,2,DSL,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),35.5,552.7
6648,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,406.05
1063,0,1,0,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,0,Bank transfer (automatic),62.25,612.95
6243,1,1,1,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),83.6,5959.3
3655,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,641.15
5675,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.6,207.4
2967,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,113.75,6561.25
2874,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.45,1225.65
5027,1,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,85.55,851.75
2081,1,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),75.3,1702.9
750,0,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,56.7,1652.95
4730,0,1,1,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),96.6,2877.95
2562,1,0,2,DSL,No,No,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),50.55,3364.55
2119,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.2,845.6
6060,0,1,0,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,87.1,713.6
1799,0,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,98.7,973.25
219,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),80.0,624.6
3458,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),88.8,2274.35
1246,1,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,105.15,4730.9
1841,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,24.3,1261.7
4680,0,1,1,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),58.4,964.9
837,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,44.4,44.4
1506,1,0,2,DSL,Yes,No,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),54.1,3794.5
3329,1,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,50.3,908.75
3793,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,186.15
4383,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,0,Credit card (automatic),80.0,5040.2
5100,0,1,0,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,75.3,75.3
1133,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.25,48.35
597,0,1,1,DSL,No,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,65.55,237.2
3338,0,1,0,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,89.4,1095.65
760,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.8,20.8
1935,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.85,996.95
655,0,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),95.1,865.1
3550,0,1,0,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,96.2,3183.4
2068,0,1,1,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,0,Mailed check,100.75,4669.2
4362,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.7,1032.05
744,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),44.05,202.15
5347,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.95,8594.4
3931,1,1,0,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,1,Mailed check,71.05,1837.7
881,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.3,504.2
4729,1,0,2,DSL,No,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),54.95,3772.5
3261,1,1,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),85.0,5607.75
3188,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.85,365.55
4298,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,46.0,492.1
6867,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.95,1311.75
2441,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,81.5,162.55
5964,1,1,0,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,0,Bank transfer (automatic),61.75,3024.15
2457,1,1,0,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,90.65,5199.8
5576,0,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,53.55,53.55
5401,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.45,638.55
3542,1,0,2,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),55.35,1636.95
3113,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.4,3474.2
4827,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,81.0,1312.15
5654,1,1,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),105.35,7511.9
1882,1,1,0,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,60.2,1834.15
1508,1,1,0,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),88.45,2130.55
6416,0,0,2,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Electronic check,43.9,3097.2
784,0,0,2,DSL,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),40.6,2588.95
1178,0,1,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,1553.95
5210,1,0,2,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,60.45,3184.25
2741,0,1,0,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.5,477.7
2370,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),112.55,7806.5
5819,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.15,8250
5121,0,1,1,DSL,No,Yes,Yes,No,No,Yes,One year,0,Credit card (automatic),70.9,1964.6
2029,1,1,0,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Credit card (automatic),90.6,6056.15
2444,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.95,3186.65
4167,1,1,1,DSL,No,No,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),75.7,3876.2
3831,1,1,1,Fiber optic,Yes,No,No,No,No,Yes,One year,1,Electronic check,89.05,2177.45
4550,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),26.25,1988.05
4396,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,25.1
6952,0,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),107.4,5121.3
1021,1,1,0,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,54.35,1426.45
1441,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Bank transfer (automatic),97.8,5458.8
177,0,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6
50,0,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75
961,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,20.5,365.8
2117,1,0,2,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),64.45,4528
4723,0,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.35,74.35
5021,1,1,1,Fiber optic,Yes,No,No,No,No,No,One year,0,Credit card (automatic),81.85,1810.85
4107,1,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,1,Credit card (automatic),94.45,6921.7
5941,0,0,2,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),34.85,1267.2
6396,1,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),91.95,3301.05
6578,0,1,1,DSL,Yes,No,Yes,Yes,No,Yes,One year,0,Credit card (automatic),73.55,693.3
5921,0,1,0,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2078.95
6334,0,1,1,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,104.0,7039.05
3244,0,1,1,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),54.5,568.2
3462,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,85.2,602.55
1985,1,0,2,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,29.2,309.1
399,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.05,415.1
3823,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,0,Bank transfer (automatic),78.85,5763.15
3053,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),104.1,6700.05
2697,1,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),87.95,6365.35
555,1,1,1,DSL,Yes,No,Yes,No,No,Yes,One year,1,Bank transfer (automatic),68.75,3808
3837,0,1,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,105.65,443.9
2417,0,0,2,DSL,No,Yes,No,Yes,No,No,Month-to-month,0,Electronic check,35.75,389.8
4345,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.55,1403.1
4580,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.1,1372.45
3470,1,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),51.3,411.6
1218,0,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),90.55,2282.55
2514,0,1,1,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,89.7,2187.55
5890,0,1,1,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),85.35,5897.4
6034,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.25,129.15
2698,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,51.6
5953,0,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,50.7,50.7
3409,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,113.65,7714.65
5030,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Mailed check,94.5,575.45
1817,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,0,Bank transfer (automatic),98.35,6929.4
6423,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.25,1784.5
3877,1,0,2,DSL,Yes,No,Yes,No,Yes,Yes,One year,1,Electronic check,55.95,1157.05
2952,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.25,493.95
5934,1,1,1,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,93.85,2381.55
386,1,1,1,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,85.45,4874.7
4286,1,1,1,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,88.05,801.3
6577,1,1,1,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),72.95,5265.55
